State,Year,State_Year,Gender,Leading_Cancer_Sites,Incidence_Counts,Incidence_Age_Adjusted_Rate,Death_Counts,Mortality_Age_Adjusted_Rate,Mortality_Incidence_Age_Adjusted_Rate_Ratio,Population,%_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,%_Low_birthweight,%_Adult_smoking,%_Adults_with_Obesity,%_Physically_Inactive,%_Excessive_Drinking,%_Uninsured,Primary_Care_Physicians_Rate,Mental_Health_Provider_Rate,%_With_Annual_Mammogram,%_Unemployed,%_Children_in_Poverty,Average_Daily_PM2.5,%_Severe_Housing_Problems,%_Adults_with_Diabetes,Median_Household_Income,%_Less_Than_18_Years_of_Age,%_65_and_Over,%_Black,%_American_Indian_&_Alaska_Native,%_Asian,%_Native_Hawaiian/Other_Pacific_Islander,%_Hispanic,%_Non_Hispanic_White,%_Female,%_Rural,Region
New Hampshire,2019,New Hampshire2019,Male,Prostate,1232,123.34,174,22.64,0.184,673969,13.11,3.74,4.06,6.86,15.67,27.9,21.3,20.73,7.02,90.78,306.98,50.0,2.53,10.1,7.45,15.07,9.3,75322,19.03,18.11,1.41,0.3,2.98,0.05,3.88,89.96,50.44,39.7,Northeast
New Hampshire,2020,New Hampshire2020,Male,Prostate,1042,100.83,158,19.06,0.189,676994,12.84,3.55,4.63,6.74,16.62,28.6,20.8,20.21,7.07,90.9,321.83,49.0,2.54,8.1,5.7,14.49,9.6,78571,18.77,18.67,1.47,0.3,2.96,0.05,4.01,89.76,50.45,39.7,Northeast
New Jersey,2010,New Jersey2010,Male,Prostate,7181,158.5,843,21.79,0.137,4283789,15.52,3.48,3.39,7.99,18.43,24.7,24.91,16.08,17.68,94.27,46.55,59.44,9.44,11.91,3.76,42.76,8.69,70702,23.42,13.62,13.0,0.35,6.05,0.09,14.36,66.16,50.86,13.19,Northeast
New Jersey,2011,New Jersey2011,Male,Prostate,7840,169.63,785,19.74,0.116,4300909,15.4,3.48,3.37,8.05,17.79,25.61,25.27,15.87,13.7,94.27,39.91,62.44,9.74,14.09,3.76,42.87,8.89,68020,23.42,13.62,13.0,0.35,6.05,0.09,14.36,66.16,50.86,13.19,Northeast
New Jersey,2012,New Jersey2012,Male,Prostate,6523,137.33,753,18.71,0.136,4311083,15.12,3.42,3.34,8.19,17.16,25.57,25.27,16.24,14.2,78.88,43.67,62.72,9.6,14.31,11.65,43.46,8.88,67930,23.05,14.0,11.62,0.55,6.73,0.08,15.75,64.46,51.09,12.42,Northeast
New Jersey,2013,New Jersey2013,Male,Prostate,6390,130.19,728,17.6,0.135,4319443,14.8,3.4,3.33,8.22,16.65,25.26,25.06,16.4,14.06,78.76,109.66,60.51,9.84,14.66,11.24,20.87,9.05,69624,22.7,14.51,11.53,0.55,6.67,0.08,15.63,64.72,51.09,12.76,Northeast
New Jersey,2014,New Jersey2014,Male,Prostate,6098,122.08,814,19.2,0.157,4326008,14.8,3.4,3.33,8.22,16.65,25.33,24.3,16.4,13.81,78.88,133.91,60.74,8.48,16.09,11.24,21.59,9.29,70419,22.52,14.89,11.54,0.57,6.98,0.09,16.3,63.67,51.03,12.76,Northeast
New Jersey,2015,New Jersey2015,Male,Prostate,6718,131.18,739,17.11,0.13,4327879,14.52,3.25,3.41,8.17,15.17,25.63,24.1,17.93,14.18,78.85,146.52,60.81,7.05,15.47,11.24,21.91,9.75,72135,22.25,15.26,11.57,0.57,7.17,0.09,16.67,63.06,51.06,12.76,Northeast
New Jersey,2016,New Jersey2016,Male,Prostate,7283,139.39,783,17.8,0.128,4331875,14.69,3.2,3.46,8.08,14.23,26.6,22.91,17.65,11.78,79.01,162.41,61.41,6.03,15.0,9.59,21.92,9.5,72657,22.01,15.64,11.59,0.57,7.37,0.1,16.96,62.51,51.06,12.76,Northeast
New Jersey,2017,New Jersey2017,Male,Prostate,7648,142.81,767,17.18,0.12,4340610,15.75,3.56,3.64,8.0,14.62,26.84,23.37,17.84,9.3,77.93,177.9,61.41,5.31,14.32,9.59,21.58,9.39,75639,21.87,16.03,11.6,0.58,7.46,0.1,17.22,62.13,51.02,12.76,Northeast
New Jersey,2018,New Jersey2018,Male,Prostate,7784,143.59,776,16.84,0.117,4344196,15.75,3.56,3.64,7.97,14.62,27.1,23.76,17.84,8.6,77.73,190.93,40.9,4.97,13.81,9.92,21.12,9.31,79707,21.63,16.47,11.56,0.58,7.65,0.11,17.63,61.55,51.04,12.76,Northeast
New Jersey,2019,New Jersey2019,Male,Prostate,8488,152.96,735,15.63,0.102,4345560,17.73,3.66,3.92,8.07,13.74,26.4,26.0,18.06,8.96,84.1,223.67,41.0,4.15,13.5,9.9,21.66,9.5,81777,21.93,16.15,12.91,0.61,9.98,0.11,20.65,54.92,51.15,5.32,Northeast
New Jersey,2020,New Jersey2020,Male,Prostate,7743,138.04,776,16.18,0.117,4343049,15.53,3.73,3.77,8.03,13.22,27.0,26.6,15.99,8.74,84.78,240.85,41.0,3.56,12.2,8.6,21.2,9.9,85786,21.83,16.61,12.93,0.62,9.98,0.12,20.91,54.61,51.13,5.32,Northeast
New Mexico,2010,New Mexico2010,Male,Prostate,1415,125.71,199,21.91,0.174,1020318,19.07,4.2,3.7,8.67,21.51,23.5,22.36,13.64,29.71,62.16,13.74,54.67,7.19,28.25,0.03,27.75,7.24,38731,23.96,16.25,1.98,8.02,1.08,0.11,45.31,43.51,50.07,47.79,West
New Mexico,2011,New Mexico2011,Male,Prostate,1159,101.11,186,20.44,0.202,1028317,18.88,4.17,3.66,8.94,20.92,24.97,23.08,13.04,24.95,64.1,5.92,55.1,8.46,31.0,0.03,25.74,7.87,37558,23.96,16.25,1.98,8.02,1.08,0.11,45.31,43.51,50.07,47.79,West
New Mexico,2012,New Mexico2012,Male,Prostate,894,77.32,197,20.89,0.27,1032898,18.64,4.09,3.69,9.08,20.47,24.94,22.98,13.1,23.51,59.73,28.27,54.73,7.54,31.96,10.26,26.37,7.85,38471,23.39,16.89,1.31,8.35,1.03,0.12,46.14,43.61,49.53,47.66,West
New Mexico,2013,New Mexico2013,Male,Prostate,1028,85.87,207,21.0,0.245,1036017,18.85,4.1,3.74,9.35,20.3,25.4,23.84,14.18,23.45,60.52,314.2,52.54,6.94,32.02,9.92,15.52,8.66,38850,23.07,17.76,1.21,8.34,1.02,0.12,46.04,43.83,49.49,48.42,West
New Mexico,2014,New Mexico2014,Male,Prostate,1043,84.72,198,19.84,0.234,1035069,18.85,4.1,3.74,9.3,20.3,25.58,23.1,14.18,22.08,61.97,367.75,53.31,6.95,33.22,9.92,15.84,9.08,40050,22.81,18.34,1.28,8.58,1.07,0.13,46.65,42.89,49.36,48.42,West
New Mexico,2015,New Mexico2015,Male,Prostate,1029,81.62,204,20.07,0.246,1034730,20.23,4.29,3.82,9.31,17.81,25.28,23.62,14.28,22.37,61.6,394.02,54.31,7.1,30.38,9.92,15.94,12.32,40621,22.56,18.97,1.31,8.69,1.11,0.14,47.01,42.38,49.37,48.42,West
New Mexico,2016,New Mexico2016,Male,Prostate,1124,86.78,195,18.13,0.209,1036039,20.98,4.35,3.89,9.38,16.51,25.08,21.58,13.3,17.57,60.57,417.08,53.28,7.24,30.28,6.68,15.76,9.25,41358,22.42,19.6,1.37,8.79,1.13,0.14,47.33,41.93,49.36,48.42,West
New Mexico,2017,New Mexico2017,Male,Prostate,1146,86.94,218,19.44,0.224,1036090,21.68,4.46,4.12,9.19,16.28,25.25,22.27,15.46,13.05,58.57,426.44,53.28,7.2,31.04,6.68,15.84,9.31,41728,22.2,20.2,1.32,8.97,1.1,0.14,47.68,41.57,49.45,48.42,West
New Mexico,2018,New Mexico2018,Male,Prostate,1146,83.97,229,19.54,0.233,1036336,21.68,4.46,4.12,9.28,16.28,26.18,20.67,15.46,11.04,55.15,433.67,31.12,6.56,30.64,5.97,15.8,9.78,42274,22.05,20.85,1.33,9.11,1.14,0.14,48.04,41.08,49.46,48.42,West
New Mexico,2019,New Mexico2019,Male,Prostate,1255,89.5,222,18.62,0.208,1038980,20.58,4.41,4.46,8.96,17.49,26.6,19.7,16.17,11.0,74.66,391.28,34.0,4.95,25.3,5.9,17.83,8.9,47405,23.01,17.48,1.84,10.9,1.78,0.16,49.12,37.11,50.5,22.57,West
New Mexico,2020,New Mexico2020,Male,Prostate,1148,80.55,254,20.42,0.253,1042459,20.25,4.25,4.48,9.02,15.88,27.3,19.0,16.74,11.51,74.88,403.56,35.0,4.86,23.5,5.6,17.34,9.5,52021,22.69,18.01,1.89,10.96,1.79,0.16,49.26,36.85,50.52,22.57,West
New York,2010,New York2010,Male,Prostate,15186,152.9,1821,21.44,0.14,9389232,14.57,3.54,3.37,7.27,22.09,26.61,24.86,17.72,18.13,79.61,78.44,67.48,8.22,17.93,1.11,34.16,8.51,51407,21.72,14.71,6.66,0.57,2.4,0.04,6.41,83.93,50.3,44.74,Northeast
New York,2011,New York2011,Male,Prostate,16121,158.52,1760,20.27,0.128,9443070,14.57,3.6,3.47,7.34,21.43,27.53,25.34,17.59,12.1,79.61,149.61,69.26,8.55,19.81,1.11,33.38,9.08,50272,21.72,14.71,6.66,0.57,2.4,0.04,6.41,83.93,50.3,44.74,Northeast
New York,2012,New York2012,Male,Prostate,13979,133.5,1658,18.77,0.141,9485738,14.34,3.62,3.43,7.47,20.59,27.49,25.33,17.75,12.54,62.46,42.31,68.72,8.23,21.52,11.03,33.69,9.07,51175,21.47,15.13,6.03,0.68,2.74,0.06,7.27,82.1,50.34,43.78,Northeast
New York,2013,New York2013,Male,Prostate,13883,129.66,1637,18.03,0.139,9515522,14.36,3.65,3.5,7.46,19.91,27.4,24.61,17.72,11.53,62.08,134.65,65.09,8.63,20.94,11.62,16.62,9.59,52311,21.13,15.76,5.8,0.67,2.64,0.06,7.05,82.65,50.33,44.29,Northeast
New York,2014,New York2014,Male,Prostate,13312,121.11,1748,18.61,0.154,9530747,14.36,3.65,3.5,7.34,19.91,27.45,23.95,17.72,11.14,62.28,158.94,65.13,7.67,21.88,11.62,17.02,9.95,52588,20.9,16.23,5.9,0.7,2.78,0.07,7.37,82.01,50.25,44.29,Northeast
New York,2015,New York2015,Male,Prostate,13890,123.55,1654,17.32,0.14,9536185,13.09,3.41,3.56,7.32,15.07,27.34,24.16,18.59,10.82,62.89,167.55,63.98,6.3,21.25,11.62,17.13,9.18,54318,20.69,16.65,5.96,0.71,2.9,0.07,7.53,81.61,50.21,44.29,Northeast
New York,2016,New York2016,Male,Prostate,14423,126.11,1779,18.11,0.144,9531434,13.69,3.66,3.8,7.31,16.36,27.52,23.44,19.23,8.51,62.91,178.28,64.2,5.58,20.95,8.71,17.09,9.63,55543,20.48,17.08,5.98,0.72,2.99,0.07,7.69,81.3,50.21,44.29,Northeast
New York,2017,New York2017,Male,Prostate,15343,131.18,1812,18.08,0.138,9513043,15.27,3.76,3.9,7.26,17.75,27.92,25.84,20.26,6.73,62.47,189.25,64.2,5.09,20.04,8.71,17.18,9.73,57115,20.33,17.54,5.96,0.72,3.03,0.07,7.78,81.17,50.18,44.29,Northeast
New York,2018,New York2018,Male,Prostate,16034,135.02,1749,16.9,0.125,9490554,15.27,3.76,3.9,7.22,17.75,30.5,24.88,20.26,5.86,61.79,199.31,45.19,5.24,19.35,8.62,17.16,10.64,58872,20.13,18.07,5.99,0.73,3.13,0.07,7.95,80.84,50.16,44.29,Northeast
New York,2019,New York2019,Male,Prostate,17030,140.97,1660,15.78,0.112,9451066,16.61,3.51,3.94,7.95,14.09,25.5,24.7,18.81,6.63,82.06,289.24,42.0,4.11,18.8,8.5,23.86,9.8,67648,20.82,16.44,14.5,0.97,8.96,0.14,19.21,55.42,51.45,12.13,Northeast
New York,2020,New York2020,Male,Prostate,14447,118.04,1658,15.48,0.131,9390497,16.25,3.56,3.61,7.96,12.96,26.4,23.4,19.17,6.33,83.75,304.34,42.0,3.96,18.2,6.6,23.54,10.1,72038,20.71,16.94,14.46,0.98,9.01,0.14,19.28,55.29,51.43,12.13,Northeast
North Carolina,2010,North Carolina2010,Male,Prostate,7243,147.56,917,24.74,0.168,4670182,20.27,4.05,3.55,9.37,24.09,29.87,26.81,10.78,21.23,63.53,32.05,66.38,11.06,23.84,0.38,32.1,10.8,41808,22.91,15.37,21.16,1.59,0.99,0.04,5.92,70.31,50.89,65.12,South
North Carolina,2011,North Carolina2011,Male,Prostate,7630,151.74,856,22.44,0.148,4706865,20.08,4.03,3.56,9.41,23.11,30.74,27.49,10.87,19.44,64.83,18.93,69.42,11.1,28.3,0.38,30.88,11.36,40069,22.91,15.37,21.16,1.59,0.99,0.04,5.92,70.31,50.89,65.12,South
North Carolina,2012,North Carolina2012,Male,Prostate,6322,120.14,845,20.98,0.175,4750629,19.6,3.95,3.58,9.41,22.46,30.73,27.46,11.04,20.29,53.03,21.61,68.47,11.24,29.05,12.87,31.47,11.35,40258,22.29,16.03,20.5,1.85,1.12,0.09,6.72,68.8,50.85,60.93,South
North Carolina,2013,North Carolina2013,Male,Prostate,6499,119.75,826,19.75,0.165,4795806,20.11,3.99,3.65,9.39,22.85,30.37,27.89,13.13,19.77,53.15,102.71,67.24,10.3,29.72,12.37,15.62,11.94,40674,21.95,16.88,20.45,1.86,1.1,0.09,6.62,68.95,50.83,61.2,South
North Carolina,2014,North Carolina2014,Male,Prostate,6668,118.0,901,20.57,0.174,4837572,20.11,3.99,3.65,9.3,22.85,30.61,27.49,13.13,20.13,53.7,129.43,67.56,8.8,29.56,12.37,16.21,12.1,41649,21.69,17.49,20.32,1.91,1.2,0.1,6.9,68.59,50.84,61.2,South
North Carolina,2015,North Carolina2015,Male,Prostate,6916,118.61,904,20.21,0.17,4887153,18.83,4.0,3.88,9.21,19.46,31.02,27.66,14.23,19.24,54.6,137.51,67.72,6.88,28.23,12.37,16.42,11.81,42130,21.46,18.04,20.31,1.93,1.26,0.1,7.01,68.39,50.82,61.2,South
North Carolina,2016,North Carolina2016,Male,Prostate,6970,117.29,936,20.18,0.172,4946760,18.87,4.14,3.91,9.19,18.9,31.51,26.68,14.85,16.4,54.41,145.17,67.06,6.44,27.71,9.01,16.59,12.33,43289,21.24,18.54,20.3,1.94,1.32,0.11,7.14,68.17,50.8,61.2,South
North Carolina,2017,North Carolina2017,Male,Prostate,7732,125.49,910,18.68,0.149,5000946,18.71,3.93,4.21,9.24,18.76,31.48,26.81,16.05,14.05,53.99,152.91,67.06,5.64,26.1,9.01,16.42,12.4,45090,21.1,18.99,20.26,1.98,1.36,0.11,7.23,68.02,50.88,61.2,South
North Carolina,2018,North Carolina2018,Male,Prostate,8064,127.13,1004,19.71,0.155,5055337,18.71,3.93,4.21,9.28,18.76,31.98,25.82,16.05,13.48,53.4,161.06,44.07,5.02,25.35,9.68,16.03,12.36,47203,20.9,19.46,20.21,2.01,1.39,0.11,7.46,67.76,50.88,61.2,South
North Carolina,2019,North Carolina2019,Male,Prostate,8778,134.79,1033,19.75,0.146,5107629,18.46,3.92,4.09,9.06,17.19,31.4,24.3,16.87,12.64,70.81,244.28,46.0,3.9,20.2,9.8,15.59,11.2,53922,22.16,16.27,21.38,1.57,3.17,0.13,9.61,62.84,51.36,33.91,South
North Carolina,2020,North Carolina2020,Male,Prostate,7684,114.69,1084,19.99,0.174,5152582,17.99,3.6,4.06,9.13,17.94,32.3,23.3,17.6,12.74,71.18,257.21,46.0,3.87,19.3,8.5,15.12,11.5,57388,21.94,16.7,21.36,1.58,3.19,0.13,9.78,62.61,51.37,33.91,South
North Dakota,2010,North Dakota2010,Male,Prostate,530,140.95,68,20.21,0.143,341099,11.76,2.58,2.48,6.53,18.32,28.63,28.28,20.98,17.72,55.85,39.13,72.68,4.81,16.95,0.08,19.48,9.33,43225,21.6,20.32,0.39,6.67,0.37,0.02,1.58,90.96,49.57,82.98,Midwest
North Dakota,2011,North Dakota2011,Male,Prostate,567,146.39,78,22.28,0.152,347360,11.69,2.54,2.44,6.6,18.02,30.87,30.21,20.91,13.61,74.01,9.78,69.27,4.14,17.63,0.08,18.46,9.58,45610,21.6,20.32,0.39,6.67,0.37,0.02,1.58,90.96,49.57,82.98,Midwest
North Dakota,2012,North Dakota2012,Male,Prostate,504,125.73,75,20.67,0.164,357189,11.8,2.54,2.43,6.55,18.1,30.85,30.13,21.22,13.9,60.27,33.4,69.02,3.84,15.98,7.35,18.08,9.56,49389,21.7,19.82,0.48,6.71,0.43,0.05,1.81,89.6,49.17,81.77,Midwest
North Dakota,2013,North Dakota2013,Male,Prostate,423,104.62,48,12.78,0.122,369328,12.02,2.58,2.46,6.57,18.85,31.33,30.4,22.4,13.19,56.99,68.15,67.39,3.62,15.33,10.04,9.3,9.53,51087,21.67,19.86,0.44,6.79,0.41,0.04,1.76,89.66,49.12,82.56,Midwest
North Dakota,2014,North Dakota2014,Male,Prostate,464,110.84,87,23.12,0.209,378606,12.02,2.58,2.46,6.56,18.85,30.83,28.85,22.4,13.79,59.41,109.87,66.81,3.49,13.82,10.04,9.23,10.0,55367,22.15,19.67,0.61,6.76,0.5,0.04,2.47,88.64,48.81,82.56,Midwest
North Dakota,2015,North Dakota2015,Male,Prostate,569,127.91,70,18.32,0.143,388132,12.72,2.73,2.68,6.52,17.98,31.53,29.52,21.3,14.54,56.58,107.96,66.73,3.48,15.21,10.04,9.14,9.61,55239,22.49,19.64,0.72,6.79,0.59,0.04,2.74,88.12,48.69,82.56,Midwest
North Dakota,2016,North Dakota2016,Male,Prostate,507,116.09,57,14.22,0.122,388106,13.08,2.94,2.97,6.59,16.92,31.87,26.44,21.35,10.9,56.61,110.2,66.47,3.25,13.93,7.44,9.0,10.07,56874,22.7,19.64,0.85,6.83,0.68,0.05,3.03,87.55,48.62,82.56,Midwest
North Dakota,2017,North Dakota2017,Male,Prostate,503,113.12,79,20.14,0.178,387723,13.54,2.94,2.82,6.51,17.15,32.68,27.4,22.03,10.48,53.67,112.35,66.47,3.58,14.37,7.44,8.95,9.92,55908,22.93,20.02,0.98,6.9,0.73,0.05,3.08,87.13,48.72,82.56,Midwest
North Dakota,2018,North Dakota2018,Male,Prostate,596,128.75,83,20.73,0.161,389111,13.54,2.94,2.82,6.46,17.15,33.14,25.56,22.03,9.35,56.89,120.79,47.15,2.92,14.22,5.44,9.08,9.92,57319,22.96,20.62,1.0,6.94,0.79,0.05,3.12,86.94,48.69,82.56,Midwest
North Dakota,2019,North Dakota2019,Male,Prostate,601,129.05,68,16.45,0.127,391046,15.12,3.27,3.48,6.41,18.27,32.7,23.9,24.13,8.58,76.65,187.61,52.0,2.61,11.0,5.4,11.2,9.0,65250,23.51,15.35,3.24,5.52,1.77,0.08,3.89,83.96,48.77,40.1,Midwest
North Dakota,2020,North Dakota2020,Male,Prostate,573,122.12,73,16.93,0.139,391815,13.63,3.18,3.8,6.49,19.66,33.9,23.1,23.74,8.05,76.97,196.31,53.0,2.37,10.9,4.7,11.61,9.4,67402,23.64,15.73,3.26,5.57,1.69,0.08,4.14,83.66,48.82,40.1,Midwest
Ohio,2010,Ohio2010,Male,Prostate,8176,130.04,1134,21.62,0.166,5634163,14.74,3.89,3.76,7.8,22.27,29.96,27.48,14.97,14.19,55.49,39.99,63.9,11.48,18.6,1.24,29.15,10.69,46833,23.64,14.55,4.35,0.27,0.81,0.01,2.1,92.46,50.56,48.87,Midwest
Ohio,2011,Ohio2011,Male,Prostate,8649,134.33,1177,22.03,0.164,5639710,15.51,4.03,3.9,7.89,22.01,31.52,28.86,15.16,14.2,55.49,19.54,65.02,11.08,22.68,1.24,28.75,10.99,44534,23.64,14.55,4.35,0.27,0.81,0.01,2.1,92.46,50.56,48.87,Midwest
Ohio,2012,Ohio2012,Male,Prostate,7309,110.49,1067,19.27,0.174,5646833,15.85,3.85,3.86,7.91,21.7,31.51,28.84,15.54,14.68,52.9,21.05,61.91,9.46,23.22,13.43,28.83,10.99,45477,23.55,15.1,4.24,0.26,0.86,0.04,2.31,90.95,50.49,47.93,Midwest
Ohio,2013,Ohio2013,Male,Prostate,7195,105.94,1045,18.58,0.175,5665068,16.41,3.97,3.91,7.96,23.25,31.29,28.92,17.33,14.11,52.44,57.48,59.09,7.76,22.92,13.49,13.13,11.16,46372,23.25,15.75,4.08,0.26,0.85,0.03,2.31,91.13,50.48,48.22,Midwest
Ohio,2014,Ohio2014,Male,Prostate,7012,100.92,1073,18.44,0.183,5680785,16.41,3.97,3.91,7.86,23.25,31.7,28.44,17.33,13.64,51.98,80.71,58.86,7.88,22.22,13.49,13.25,11.69,47454,23.07,16.16,4.14,0.28,0.91,0.04,2.47,90.74,50.41,48.22,Midwest
Ohio,2015,Ohio2015,Male,Prostate,7449,105.25,1109,19.07,0.181,5691115,16.05,3.79,4.05,7.8,19.72,32.07,28.75,17.35,13.17,52.94,92.34,58.84,6.09,21.98,13.49,13.26,11.41,48443,22.9,16.6,4.19,0.28,0.97,0.04,2.56,90.51,50.38,48.22,Midwest
Ohio,2016,Ohio2016,Male,Prostate,7592,104.83,1183,19.71,0.188,5702499,15.99,3.84,3.97,7.73,19.33,32.83,27.54,17.11,10.15,52.64,101.17,59.79,5.31,20.45,11.38,13.3,12.43,50825,22.75,17.0,4.22,0.29,1.01,0.04,2.64,90.31,50.34,48.22,Midwest
Ohio,2017,Ohio2017,Male,Prostate,8544,115.45,1211,19.49,0.169,5716631,16.55,3.86,4.03,7.7,20.26,33.07,27.79,17.88,7.86,51.37,113.98,59.79,5.42,19.21,11.38,13.19,12.28,52474,22.59,17.41,4.2,0.3,1.04,0.05,2.69,90.19,50.31,48.22,Midwest
Ohio,2018,Ohio2018,Male,Prostate,9001,120.22,1244,19.79,0.165,5724669,16.55,3.86,4.03,7.7,20.26,33.63,27.02,17.88,6.89,50.79,144.13,40.06,5.26,18.82,11.49,12.83,12.54,53756,22.47,17.82,4.23,0.31,1.09,0.05,2.77,89.99,50.31,48.22,Midwest
Ohio,2019,Ohio2019,Male,Prostate,9322,121.88,1213,18.88,0.155,5733873,18.0,3.92,4.6,8.56,21.13,32.3,26.4,20.21,7.09,76.22,244.38,43.0,4.58,19.2,11.5,14.07,11.8,56155,22.19,17.07,12.61,0.29,2.46,0.06,3.94,78.67,50.98,22.08,Midwest
Ohio,2020,Ohio2020,Male,Prostate,8329,107.49,1218,18.7,0.174,5732661,17.77,4.08,4.78,8.56,21.41,33.5,26.1,18.48,7.73,76.73,261.29,43.0,4.11,18.1,9.0,13.67,12.2,58704,22.05,17.51,12.67,0.29,2.49,0.06,4.02,78.44,50.98,22.08,Midwest
Oklahoma,2010,Oklahoma2010,Male,Prostate,2694,139.03,359,21.98,0.158,1860337,20.1,4.27,4.01,7.89,26.41,31.19,33.18,11.32,24.78,38.03,8.26,53.74,6.55,24.44,0.05,23.8,11.35,39341,24.42,15.8,4.22,10.12,0.64,0.07,7.21,77.74,50.03,63.58,South
Oklahoma,2011,Oklahoma2011,Male,Prostate,2633,131.93,363,21.87,0.166,1874581,20.52,4.32,4.08,7.9,26.0,32.67,33.64,11.22,23.17,40.12,2.39,57.34,6.93,25.82,0.05,22.24,11.48,39025,24.42,15.8,4.22,10.12,0.64,0.07,7.21,77.74,50.03,63.58,South
Oklahoma,2012,Oklahoma2012,Male,Prostate,2104,102.4,351,20.63,0.201,1891054,19.96,4.39,4.03,8.02,25.12,32.66,33.61,11.52,23.41,44.49,14.74,55.13,6.04,25.82,10.09,22.44,11.47,40061,24.27,16.14,3.62,10.85,0.76,0.11,7.84,72.65,49.9,63.25,South
Oklahoma,2013,Oklahoma2013,Male,Prostate,2090,98.51,369,21.21,0.215,1909004,19.97,4.44,4.31,8.06,24.66,33.39,33.79,12.33,22.92,42.69,176.91,53.06,5.08,25.06,10.24,11.66,12.27,41312,24.05,16.63,3.46,10.95,0.73,0.11,7.78,72.81,49.92,63.64,South
Oklahoma,2014,Oklahoma2014,Male,Prostate,1926,89.05,334,18.52,0.208,1921858,19.97,4.44,4.31,7.93,24.66,33.67,32.95,12.33,22.47,42.63,255.53,53.07,5.42,25.08,10.24,11.79,12.65,42804,24.07,16.85,3.54,11.07,0.81,0.13,8.32,71.88,49.89,63.64,South
Oklahoma,2015,Oklahoma2015,Male,Prostate,2186,99.02,381,20.75,0.21,1937570,20.43,4.52,4.34,7.99,20.74,34.1,33.25,12.61,21.86,41.59,270.2,52.77,4.82,23.86,10.24,12.04,12.37,43819,24.11,17.07,3.56,11.18,0.85,0.13,8.61,71.41,49.84,63.64,South
Oklahoma,2016,Oklahoma2016,Male,Prostate,2177,97.09,395,21.12,0.218,1946039,20.2,4.47,4.2,7.95,20.67,34.45,32.02,13.0,19.35,41.73,283.0,52.95,4.74,23.51,8.99,12.03,13.03,45543,24.17,17.31,3.59,11.29,0.9,0.14,8.9,70.92,49.8,63.64,South
Oklahoma,2017,Oklahoma2017,Male,Prostate,2232,97.32,388,20.14,0.207,1948690,19.78,4.53,4.63,7.84,18.56,35.01,32.79,12.96,17.46,40.58,291.65,52.95,5.38,24.24,8.99,12.22,12.98,44991,24.05,17.63,3.56,11.45,0.91,0.15,9.05,70.61,49.78,63.64,South
Oklahoma,2018,Oklahoma2018,Male,Prostate,2446,104.96,396,20.1,0.191,1953313,19.78,4.53,4.63,7.8,18.56,35.35,31.35,12.96,17.41,40.03,301.05,32.3,4.48,23.91,9.11,12.21,13.33,45381,23.97,17.95,3.55,11.56,0.93,0.16,9.27,70.22,49.83,63.64,South
Oklahoma,2019,Oklahoma2019,Male,Prostate,2567,108.47,414,20.15,0.186,1961516,20.81,4.51,4.86,8.01,20.15,33.7,29.3,14.15,16.52,61.87,403.64,37.0,3.39,21.4,9.4,14.18,12.2,51914,24.26,15.71,7.43,9.31,2.34,0.19,10.88,65.33,50.47,33.76,South
Oklahoma,2020,Oklahoma2020,Male,Prostate,2288,94.3,389,18.66,0.198,1971181,20.86,4.5,4.82,8.04,19.9,34.5,27.8,14.91,16.63,60.89,409.88,38.0,3.29,19.7,8.2,13.99,12.3,54447,24.06,16.05,7.42,9.38,2.38,0.22,11.07,65.01,50.45,33.76,South
Oregon,2010,Oregon2010,Male,Prostate,2710,124.83,397,21.74,0.174,1899123,15.0,3.73,3.23,5.97,19.66,26.39,18.99,16.01,22.08,75.23,45.23,64.43,11.43,21.25,8.53,33.81,8.59,44625,22.02,17.3,0.81,2.36,1.56,0.21,10.21,84.86,50.26,45.9,West
Oregon,2011,Oregon2011,Male,Prostate,2840,126.06,436,23.47,0.186,1915983,14.85,3.77,3.18,6.11,18.85,26.83,19.76,15.92,21.5,79.66,21.33,65.65,11.39,24.98,8.53,33.54,8.93,42681,22.02,17.3,0.81,2.36,1.56,0.21,10.21,84.86,50.26,45.9,West
Oregon,2012,Oregon2012,Male,Prostate,2165,92.94,413,21.42,0.23,1930147,14.21,3.74,2.96,6.2,18.03,26.81,19.71,15.56,21.22,70.44,27.69,63.76,10.35,25.62,9.38,34.49,8.9,43324,21.55,18.0,0.71,2.37,1.68,0.27,10.97,82.22,49.98,43.68,West
Oregon,2013,Oregon2013,Male,Prostate,2277,95.37,391,19.67,0.206,1942108,14.86,3.73,3.15,6.24,18.29,27.27,19.52,16.21,19.23,71.38,157.72,60.6,9.7,25.65,9.02,17.05,9.56,44228,21.27,18.92,0.64,2.37,1.61,0.27,10.87,82.49,49.96,44.37,West
Oregon,2014,Oregon2014,Male,Prostate,2294,93.28,419,20.5,0.22,1963056,14.86,3.73,3.15,6.42,18.29,27.9,18.31,16.21,18.82,73.5,229.27,60.48,8.7,25.37,9.02,17.81,9.72,45268,21.11,19.6,0.69,2.46,1.71,0.29,11.35,81.66,50.06,44.37,West
